[2025-09-05 17:22:05] INFO: Información de la tabla de tokens | Context: {"total_records":2,"table_exists":true}
[2025-09-05 17:22:05] INFO: Datos del token obtenidos de la base de datos | Context: {"has_oauth_data":false,"oauth_data_keys":[],"access_token_length":0,"token_expires":"no_expires_field","expires_at":"no_expires_at_field","created_at":"no_created_at_field","updated_at":"no_updated_at_field","client_id":"no_client_id_field"}
[2025-09-05 17:22:05] INFO: Consultando tabla de tokens OAuth | Context: {"table_name":"ps_yuju_oauth_tokens","db_prefix":"ps_"}
[2025-09-05 17:22:05] INFO: Información de la tabla de tokens | Context: {"total_records":2,"table_exists":true}
[2025-09-05 17:22:05] INFO: Datos del token obtenidos de la base de datos | Context: {"has_oauth_data":false,"oauth_data_keys":[],"access_token_length":0,"token_expires":"no_expires_field","expires_at":"no_expires_at_field","created_at":"no_created_at_field","updated_at":"no_updated_at_field","client_id":"no_client_id_field"}
[2025-09-05 17:22:10] INFO: Consultando tabla de tokens OAuth | Context: {"table_name":"ps_yuju_oauth_tokens","db_prefix":"ps_"}
[2025-09-05 17:22:10] INFO: Información de la tabla de tokens | Context: {"total_records":2,"table_exists":true}
[2025-09-05 17:22:10] INFO: Consultando tabla de tokens OAuth | Context: {"table_name":"ps_yuju_oauth_tokens","db_prefix":"ps_"}
[2025-09-05 17:22:10] INFO: Información de la tabla de tokens | Context: {"total_records":2,"table_exists":true}
[2025-09-05 17:22:10] INFO: Datos del token obtenidos de la base de datos | Context: {"has_oauth_data":false,"oauth_data_keys":[],"access_token_length":0,"token_expires":"no_expires_field","expires_at":"no_expires_at_field","created_at":"no_created_at_field","updated_at":"no_updated_at_field","client_id":"no_client_id_field"}
[2025-09-05 17:22:10] INFO: Consultando tabla de tokens OAuth | Context: {"table_name":"ps_yuju_oauth_tokens","db_prefix":"ps_"}
[2025-09-05 17:22:10] INFO: Información de la tabla de tokens | Context: {"total_records":2,"table_exists":true}
[2025-09-05 17:22:10] INFO: Datos del token obtenidos de la base de datos | Context: {"has_oauth_data":false,"oauth_data_keys":[],"access_token_length":0,"token_expires":"no_expires_field","expires_at":"no_expires_at_field","created_at":"no_created_at_field","updated_at":"no_updated_at_field","client_id":"no_client_id_field"}
[2025-09-05 17:22:10] INFO: Consultando tabla de tokens OAuth | Context: {"table_name":"ps_yuju_oauth_tokens","db_prefix":"ps_"}
[2025-09-05 17:22:10] INFO: Información de la tabla de tokens | Context: {"total_records":2,"table_exists":true}
[2025-09-05 17:22:10] INFO: Datos del token obtenidos de la base de datos | Context: {"has_oauth_data":false,"oauth_data_keys":[],"access_token_length":0,"token_expires":"no_expires_field","expires_at":"no_expires_at_field","created_at":"no_created_at_field","updated_at":"no_updated_at_field","client_id":"no_client_id_field"}
[2025-09-05 17:22:15] INFO: Consultando tabla de tokens OAuth | Context: {"table_name":"ps_yuju_oauth_tokens","db_prefix":"ps_"}
[2025-09-05 17:22:15] INFO: Información de la tabla de tokens | Context: {"total_records":2,"table_exists":true}
[2025-09-05 17:22:15] INFO: Consultando tabla de tokens OAuth | Context: {"table_name":"ps_yuju_oauth_tokens","db_prefix":"ps_"}
[2025-09-05 17:22:15] INFO: Información de la tabla de tokens | Context: {"total_records":2,"table_exists":true}
[2025-09-05 17:22:15] INFO: Datos del token obtenidos de la base de datos | Context: {"has_oauth_data":false,"oauth_data_keys":[],"access_token_length":0,"token_expires":"no_expires_field","expires_at":"no_expires_at_field","created_at":"no_created_at_field","updated_at":"no_updated_at_field","client_id":"no_client_id_field"}
[2025-09-05 17:22:15] INFO: Consultando tabla de tokens OAuth | Context: {"table_name":"ps_yuju_oauth_tokens","db_prefix":"ps_"}
[2025-09-05 17:22:15] INFO: Información de la tabla de tokens | Context: {"total_records":2,"table_exists":true}
